4.672493,76.459544,74.8516420.016667,0.0,0.0
0.416667,0.0,0.0
0.593972,-442.361815,-381.010442
0.626595,0.72565,1.224102
0.651631,0.717574,-0.660026
0.676498,0.715791,-0.662121
0.700757,0.713861,-0.663986
0.723726,0.712147,-0.665806
0.746701,0.710137,-0.667928
0.768684,0.708326,-0.669674
0.792608,0.705854,-0.671751
0.81443,0.704188,-0.673437
0.835691,0.702398,-0.675716
0.856718,0.700024,-0.677531
0.877591,0.698622,-0.679456
0.899067,0.696614,-0.681322
0.920917,0.694467,-0.683247
0.951077,0.692374,-0.685366
0.97191,0.690631,-0.687356
0.994642,0.688515,-0.689332
1.036427,0.684614,-0.693128
1.078557,0.680537,-0.697338
1.123411,0.676558,-0.701374
1.186639,0.67036,-0.707404
1.232826,0.598547,1.179974
1.278225,0.650302,1.206467
1.323428,0.746384,1.262014
1.367874,0.870906,1.328167
1.438018,1.017424,1.364052
1.481492,1.005639,1.265787
1.526475,0.826754,0.906562
1.570494,1.082128,1.208721
1.623056,0.71994,0.802321
1.67205,3.176853,3.186341
1.718386,3.218357,3.371067
1.784969,3.579883,4.03665
1.831096,5.530142,4.380301
1.877755,4.740067,7.807618
1.928251,7.140687,5.302794
1.974497,7.12996,8.224302
2.021812,7.420953,7.798191
2.069292,10.519096,10.470749
2.138428,14.687377,15.78615
2.184352,14.111922,13.891093
2.231074,16.085064,18.153228
2.276286,21.961372,19.868993
2.32001,21.296951,23.152609
2.386336,-27.14747,91.222429
2.433261,-729.306136,-867.284013
2.481572,2135.886703,-735.425794
2.53038,-1873.754737,-1868.562354
2.577437,-2359.847193,-2478.166548
2.625152,-2520.920322,-2714.613988
2.673228,-1850.48277,-1219.413823
2.720051,-2151.899427,-2312.911562
2.767872,-2225.933881,-1273.757787
2.838007,-359.785833,-409.818613
2.883321,58.701034,55.578804
2.930976,143.557019,143.589922
2.977222,234.077637,229.469699
3.024498,263.152721,261.325692
3.068483,240.041184,237.590266
3.135427,194.145541,194.753814
3.179864,159.377006,157.255009
3.22545,117.303716,117.44767
3.269851,72.955028,72.403549
3.335342,-0.160652,2.126555
3.380806,-1128.597788,-1659.896484
3.428063,-153.093572,-1982.339401
3.476384,3747.185372,3239.112039
3.526522,4457.84971,3392.486578
3.576048,909.816205,742.729386
3.622442,-7302.086893,-3744.326068
3.668785,5964.878684,-1802.879381
3.717534,185.218573,331.152178
3.787518,-145.967555,-145.598657
3.834374,-245.862087,-246.012632
3.880533,-270.011275,-268.404991
3.928431,-257.409267,-255.022985
3.976513,-235.833141,-234.194874
4.022167,-214.667569,-215.531228
4.068264,-182.551075,-187.135423
4.117469,-157.755858,-154.488618
4.186203,2800.657401,3311.342504
4.23407,-5687.457405,-13105.107315
4.280781,-2021.220465,-2178.867845
4.329438,-2804.565293,1970.327407
4.375944,-2390.630814,-2644.975707
4.425186,-4933.818088,-6772.061108
4.474763,-2610.75746,-1464.145711
4.522673,-2951.679238,-3170.092365
4.567547,104.225392,101.886352
4.634271,250.299197,252.249351
4.678544,269.949755,270.540953
4.724594,260.717701,261.432832
4.770201,245.928462,246.617254
4.837536,219.426559,222.696242
4.883111,195.769902,197.324756
4.927959,171.321005,172.061615
4.975311,150.847431,151.379718
5.024062,1067.480008,1059.38751
5.075687,2452.607457,4387.712557
5.124906,3057.180538,5468.235438
5.173659,2634.270885,2721.861101
5.220851,2564.999299,2639.978537
5.268571,2782.519605,2191.689215
5.336539,1762.859839,1845.772522
5.380417,1373.365179,1549.095812
5.426906,-536.650914,-1343.590828
5.472416,378.721542,391.542536
5.519569,22.512661,-161.17847
5.587122,-77.60029,-77.546503
5.630653,-120.547954,-121.57086
5.673761,-158.804223,-161.149918
5.720933,-201.486527,-202.428928
5.769561,-239.49284,-235.078513
5.840095,-290.070552,-289.593449
5.885469,-307.655883,-304.303684
5.931112,-306.763769,-306.658587
5.976419,-297.782628,-298.801364
6.020908,-286.862128,-283.352524
6.088618,-262.595177,-282.816831
6.134466,-248.715291,-243.073111
6.1832,-225.935793,-223.389526
6.230546,-203.030324,-203.381223
6.277374,-184.822591,-182.141284
6.322465,-164.088838,-158.727433
6.367579,-141.504343,-140.977582
6.434793,-110.700295,-108.910381
6.475038,-90.680214,-91.440946
6.532443,-63.579809,-63.274904
6.570737,-45.679172,-45.070811
6.628333,-22.144064,-24.816046
6.669579,-8.745525,-6.631948
6.728315,10.274093,12.579182
6.767523,21.775241,22.616168
6.825208,29.803671,29.679815
6.884123,33.93268,33.817416
6.922983,37.643458,37.380252
6.980742,41.469512,41.125876
7.019952,40.989726,30.396603
7.077597,35.186364,36.515673
7.134022,29.491998,32.25013
7.175513,26.950678,27.196973
7.234269,21.66051,20.029659
7.273473,17.820576,19.764197
7.333706,18.505244,19.264514
7.373874,16.40944,15.884439
7.434981,13.077559,14.491088
7.475122,8.424415,10.093731
7.517087,10.384048,12.33876
7.57641,10.194702,8.361443
7.616967,9.187317,8.527682
7.680086,8.902255,7.143461
7.72103,7.033598,6.630429
7.779868,5.118167,6.048257
7.820688,5.526781,6.174075
7.881253,5.773617,4.065553
7.920656,3.925076,3.91623
7.980378,5.529016,5.321145
8.019859,4.023059,5.677539
8.080268,2.929031,2.371719
8.120201,3.766776,3.208084
8.189841,2.579275,1.820393
8.232513,2.839244,3.935882
0.016667,0.0,0.0
0.28922,0.0,0.0
0.393552,-442.361815,-381.010442
0.425186,0.72565,1.224102
0.452018,0.717574,-0.660026
0.48686,0.715791,-0.662121
0.511703,0.713861,-0.663986
0.536583,0.712147,-0.665806
0.559006,0.710137,-0.667928
0.581843,0.708326,-0.669674
0.603302,0.705854,-0.671751
0.624753,0.704188,-0.673437
0.64639,0.702398,-0.675716
0.687699,0.698622,-0.679456
0.730486,0.694467,-0.683247
0.777209,0.690631,-0.687356
0.819427,0.686559,-0.691547
0.884394,0.680537,-0.697338
0.929083,0.676558,-0.701374
0.971556,0.672188,-0.70563
1.038787,0.666298,-0.711496
1.085925,0.662001,-0.715762
1.133744,0.658114,-0.719827
1.176025,0.65372,-0.723974
1.218337,0.649861,-0.728122
1.286898,0.597327,1.168451
1.333087,0.676563,1.214106
1.378854,0.79523,1.282116
1.424878,0.921215,1.344171
1.470711,1.015241,1.359105
1.518869,1.008498,1.265864
1.586234,1.297762,3.385739
1.633352,0.632243,0.700605
1.676797,4.016592,2.032155
1.720321,4.106722,4.228187
1.766789,2.845189,5.051968
1.833317,5.577658,6.290678
1.876426,5.780803,6.803959
1.920112,6.349006,7.816779
1.988263,8.633865,7.436843
2.033106,8.070616,9.864186
2.079877,9.831815,10.92981
2.125097,9.803107,10.892148
2.168907,14.78042,15.865901
2.234748,14.991575,15.523334
2.278858,14.173542,15.768288
2.323152,16.620105,17.801457
2.387615,22.274435,21.653319
2.433044,-145.557587,-165.927683
2.482092,-835.475699,-807.631132
2.529598,-1601.810436,-1539.464435
2.57835,-2046.345045,-2101.106907
2.628382,-2369.98541,-2540.24641
2.676424,-2627.923176,-2678.860493
2.724435,-1790.119423,-2887.691035
2.773152,-2126.922821,-2063.401209
2.822921,-1258.869936,-1346.973499
2.871543,-347.429033,-405.279445
2.918044,68.734661,66.848223
2.987311,160.692982,158.499924
3.035614,273.994594,271.673018
3.080992,249.7118,249.677474
3.128639,224.321866,222.754652
3.174485,194.214653,191.62049
3.220824,152.875842,154.762934
3.288691,85.954547,84.971714
3.326299,61.567392,61.926124
3.372743,-1.213868,-0.311411
3.422575,576.584329,502.78189
3.474519,2371.193254,1359.696898
3.527269,-3309.754499,-200.281901
3.580697,2333.669847,2678.606892
3.635113,-5223.620479,-693.431804
3.683637,1563.239718,1688.700836
3.730939,708.604784,834.257037
3.777809,-1079.385559,-1837.117111
3.826128,-111.17846,-111.616066
3.873482,-204.100772,-204.866458
3.91787,-254.586505,-253.891527
